time,choke,Q,WHP,FLP,BHP,target
0,35.0,91.02555133169818,252.32518556122702,181.66877803981237,3016.737586882147,120.0
1,40.0,92.9370236463185,253.45135761687905,182.9147417867432,3026.9209587421137,120.0
2,45.0,95.93994259479418,254.0872148760003,182.24945503305713,3029.647104763035,120.0
3,45.9,100.53297557587136,252.1535899948604,180.341845176756,3028.7773240532406,120.0
4,45.7,103.68812794497806,251.74622560654254,178.99925520103633,3024.9383361981613,120.0
5,45.5,108.03217906447337,251.0626933000408,178.3756302549876,3021.4727181302046,120.0
6,45.2,110.07886521934074,250.7122182993368,177.23121570357486,3023.6282553152414,120.0
7,45.1,111.62755388292145,250.1875271256387,176.57042104244516,3030.1073205924527,120.0
8,45.0,113.29975405714839,249.23294340809204,176.7546326160339,3027.224715943841,120.0
9,44.9,114.8073958510643,247.80636031445115,175.80869652488053,3028.743944734231,120.0
10,44.8,116.40378427008426,247.96183491160795,175.63687390676333,3028.7635276441024,120.0
11,44.699999999999996,116.06825789892937,247.52945289925776,175.32283268990147,3032.796343759548,120.0
12,44.699999999999996,117.09005465241712,246.47401619359655,175.47357454410601,3032.3951178359525,120.0
13,44.599999999999994,117.18667335478652,247.10279251062877,175.97119000322567,3035.854301532083,120.0
14,44.599999999999994,117.11577258345092,247.07170304408976,176.0500914978121,3039.247667420236,120.0
15,44.599999999999994,117.3202060524581,247.1256022903283,175.37059523312473,3036.069244361535,120.0
16,44.599999999999994,118.43153076751538,248.1911849995083,175.32235824320531,3039.528093008113,120.0
17,44.599999999999994,119.01773493025648,247.8178463109234,175.5061233703763,3044.2854932297464,120.0
18,44.49999999999999,119.21042054410478,248.94430246636279,174.11443313652399,3046.605658790237,120.0
19,44.49999999999999,119.4268193451712,248.733546673881,174.33759761704448,3040.6402170269853,120.0
20,44.49999999999999,119.3811535437223,248.97917334147968,175.25087297589496,3039.393428175385,120.0
21,44.49999999999999,118.91370059771027,248.6307404534116,175.74610456910378,3040.7040579281907,120.0
22,44.49999999999999,118.73215368556009,248.99081614664655,175.74772789965007,3043.7794515088935,120.0
23,44.49999999999999,118.45684694611795,248.75599633348946,175.49475150565647,3039.548880940779,120.0
24,44.599999999999994,118.95875435789665,248.9357386592309,175.48310701362797,3039.2086524839947,120.0
25,44.49999999999999,118.15477297272834,248.62808633230938,175.27863674387063,3037.179461097098,120.0
26,44.599999999999994,118.37604173720122,248.9163730556404,176.27485921932023,3038.205855751368,120.0
27,44.599999999999994,118.89604832249076,248.83935727159204,175.1419972904848,3038.508603525714,120.0
28,44.49999999999999,119.18031321455967,250.4457458544308,175.06260322127568,3039.7435273940855,120.0
29,44.49999999999999,119.31313719041938,249.49470753876517,175.70197501999473,3042.259618174919,120.0
30,44.49999999999999,120.02533189960225,248.82013801160704,176.38863755568286,3038.3213523365243,120.0
31,44.49999999999999,120.46289055090057,250.26618023847607,175.7363726618352,3037.10700231887,120.0
32,44.39999999999999,120.46762992766872,249.7740641835458,174.88250852785833,3037.830274583356,120.0
33,44.39999999999999,119.59130035520354,249.99888383879548,174.48782547873208,3042.872877511397,120.0
34,44.49999999999999,119.07320954716148,249.67367086411474,175.048529063203,3039.4488924665775,120.0
35,44.49999999999999,119.41630552787603,250.4421892970318,174.25967649091265,3040.3360222403385,120.0
36,44.49999999999999,119.72256865089172,250.7788755058656,173.7719443940503,3036.777460484696,120.0
37,44.49999999999999,120.1661282378938,250.75827713916985,174.1247314803801,3038.3338505587385,120.0
38,44.39999999999999,119.6540351376713,250.69723780336167,174.45116232988755,3036.6877361897896,120.0
39,44.49999999999999,121.05867197463,250.81996547206313,173.97439922585252,3039.21544590146,120.0
